cpc_group,innovation_year,family_count
A61P,2004,21641
A61P,2005,16882
A61P,2006,16719
A61P,2007,17667
A61P,2008,16438
A61P,2009,15431
A61P,2010,14433
A61P,2011,12842
A61P,2012,11610
A61P,2013,10560
A61P,2014,10297
A61P,2015,10122
A61P,2016,11643
A61P,2017,13458
A61P,2018,43354
A61P,2019,40804
A61P,2020,47368
A61P,2021,48362
A61P,2022,44219
A61P,2023,46749
A61P,2024,46527
B60W,2004,2022
B60W,2005,1691
B60W,2006,2201
B60W,2007,2494
B60W,2008,2370
B60W,2009,2209
B60W,2010,2904
B60W,2011,3540
B60W,2012,3807
B60W,2013,4536
B60W,2014,4819
B60W,2015,5533
B60W,2016,7269
B60W,2017,8291
B60W,2018,9435
B60W,2019,11136
B60W,2020,11638
B60W,2021,12129
B60W,2022,12815
B60W,2023,13348
B60W,2024,9422
B64U,2004,103
B64U,2005,72
B64U,2006,92
B64U,2007,91
B64U,2008,132
B64U,2009,163
B64U,2010,152
B64U,2011,165
B64U,2012,239
B64U,2013,345
B64U,2014,643
B64U,2015,1367
B64U,2016,3613
B64U,2017,4508
B64U,2018,4476
B64U,2019,3705
B64U,2020,4284
B64U,2021,3893
B64U,2022,2754
B64U,2023,4530
B64U,2024,4570
C12N,2004,9014
C12N,2005,6863
C12N,2006,6652
C12N,2007,6544
C12N,2008,6251
C12N,2009,6506
C12N,2010,6467
C12N,2011,6578
C12N,2012,7017
C12N,2013,8787
C12N,2014,9908
C12N,2015,11439
C12N,2016,19693
C12N,2017,20232
C12N,2018,21902
C12N,2019,22348
C12N,2020,25859
C12N,2021,27763
C12N,2022,28252
C12N,2023,32669
C12N,2024,35221
G06N,2004,540
G06N,2005,508
G06N,2006,576
G06N,2007,680
G06N,2008,782
G06N,2009,788
G06N,2010,776
G06N,2011,1039
G06N,2012,1309
G06N,2013,1832
G06N,2014,2541
G06N,2015,3586
G06N,2016,7872
G06N,2017,15130
G06N,2018,26110
G06N,2019,43139
G06N,2020,69249
G06N,2021,85540
G06N,2022,81619
G06N,2023,105827
G06N,2024,130722
G06Q,2004,17180
G06Q,2005,15682
G06Q,2006,17670
G06Q,2007,20507
G06Q,2008,19254
G06Q,2009,17375
G06Q,2010,17508
G06Q,2011,20442
G06Q,2012,23932
G06Q,2013,26246
G06Q,2014,28201
G06Q,2015,31112
G06Q,2016,49680
G06Q,2017,58279
G06Q,2018,72760
G06Q,2019,78708
G06Q,2020,93028
G06Q,2021,99574
G06Q,2022,95030
G06Q,2023,107210
G06Q,2024,102153
H01L,2004,33212
H01L,2005,28011
H01L,2006,26707
H01L,2007,26924
H01L,2008,24519
H01L,2009,20674
H01L,2010,23570
H01L,2011,26022
H01L,2012,29542
H01L,2013,35037
H01L,2014,33460
H01L,2015,37300
H01L,2016,37966
H01L,2017,38980
H01L,2018,41380
H01L,2019,42644
H01L,2020,44406
H01L,2021,41611
H01L,2022,41391
H01L,2023,36644
H01L,2024,22512
H01M,2004,7071
H01M,2005,5837
H01M,2006,6250
H01M,2007,6061
H01M,2008,5270
H01M,2009,5969
H01M,2010,7671
H01M,2011,8796
H01M,2012,10631
H01M,2013,12557
H01M,2014,14272
H01M,2015,16084
H01M,2016,21516
H01M,2017,24886
H01M,2018,29945
H01M,2019,28351
H01M,2020,33865
H01M,2021,38723
H01M,2022,46040
H01M,2023,57070
H01M,2024,45740
H04W,2004,15558
H04W,2005,12882
H04W,2006,14067
H04W,2007,14440
H04W,2008,14850
H04W,2009,16301
H04W,2010,17749
H04W,2011,19223
H04W,2012,21263
H04W,2013,23624
H04W,2014,25466
H04W,2015,33158
H04W,2016,40209
H04W,2017,40357
H04W,2018,42295
H04W,2019,44761
H04W,2020,50392
H04W,2021,52361
H04W,2022,50915
H04W,2023,53100
H04W,2024,35848
Y02E,2004,27429
Y02E,2005,26310
Y02E,2006,30098
Y02E,2007,33817
Y02E,2008,39992
Y02E,2009,50115
Y02E,2010,58814
Y02E,2011,69662
Y02E,2012,74369
Y02E,2013,68060
Y02E,2014,64499
Y02E,2015,70284
Y02E,2016,86281
Y02E,2017,101570
Y02E,2018,112454
Y02E,2019,116027
Y02E,2020,141468
Y02E,2021,162790
Y02E,2022,255404
Y02E,2023,239992
Y02E,2024,152472
